都道府県名,i,Y,X
北海道,1,197.90,67.40
青森県,2,21.67,130.90
岩手県,3,0.00,81.20
宮城県,4,38.16,318.00
秋田県,5,16.56,84.30
山形県,6,64.01,116.90
福島県,7,43.88,135.20
茨城県,8,58.74,471.80
栃木県,9,33.09,303.70
群馬県,10,76.73,306.80
埼玉県,11,134.42,1930.10
千葉県,12,143.47,1212.80
東京都,13,368.94,6300.00
神奈川県,14,142.64,3798.20
新潟県,15,36.89,178.50
富山県,16,217.43,247.20
石川県,17,258.35,273.00
福井県,18,158.85,184.70
山梨県,19,75.22,183.00
長野県,20,37.09,152.10
岐阜県,21,75.49,188.00
静岡県,22,20.31,470.50
愛知県,23,67.53,1457.00
三重県,24,25.27,310.20
滋賀県,25,70.72,351.50
京都府,26,138.99,561.80
大阪府,27,201.73,4625.50
兵庫県,28,128.80,652.80
奈良県,29,68.42,362.80
和歌山県,30,69.19,197.90
鳥取県,31,5.40,159.70
島根県,32,35.61,101.40
岡山県,33,13.23,266.80
広島県,34,59.56,332.20
山口県,35,27.25,224.10
徳島県,36,6.87,177.50
香川県,37,29.29,512.60
愛媛県,38,55.27,238.20
高知県,39,106.02,99.40
福岡県,40,128.92,1024.20
佐賀県,41,57.67,335.60
長崎県,42,124.34,324.60
熊本県,43,27.46,237.10
大分県,44,52.86,180.40
宮崎県,45,15.84,139.70
鹿児島県,46,6.24,175.70
沖縄県,47,97.73,634.80
