都道府県名,i,Y,X
北海道,1,197.9,69.1
青森県,2,21.67,59.4
岩手県,3,0,65.7
宮城県,4,38.16,74.1
秋田県,5,16.56,68.5
山形県,6,64.01,72.5
福島県,7,43.88,70.3
茨城県,8,58.74,73.4
栃木県,9,33.09,72.4
群馬県,10,76.73,75
埼玉県,11,134.42,77.9
千葉県,12,143.47,77.4
東京都,13,368.94,78.5
神奈川県,14,142.64,78
新潟県,15,36.89,72.7
富山県,16,217.43,76.1
石川県,17,258.35,73.9
福井県,18,158.85,73.6
山梨県,19,75.22,74.2
長野県,20,37.09,73.5
岐阜県,21,75.49,75
静岡県,22,20.31,73.5
愛知県,23,67.53,78.5
三重県,24,25.27,75.2
滋賀県,25,70.72,77.6
京都府,26,138.99,73.1
大阪府,27,201.73,71.4
兵庫県,28,128.8,73.9
奈良県,29,68.42,75.6
和歌山県,30,69.19,67.4
鳥取県,31,5.4,68.7
島根県,32,35.61,67.6
岡山県,33,13.23,73.3
広島県,34,59.56,70.1
山口県,35,27.25,68.7
徳島県,36,6.87,66.8
香川県,37,29.29,67.5
愛媛県,38,55.27,67.8
高知県,39,106.02,60.8
福岡県,40,128.92,73.6
佐賀県,41,57.67,68.5
長崎県,42,124.34,62.2
熊本県,43,27.46,66.6
大分県,44,52.86,70.1
宮崎県,45,15.84,65.9
鹿児島県,46,6.24,66.8
沖縄県,47,97.73,52.4
